-BEGIN HEADER-,,,,,,,,
NASA/POWER Source Native Resolution Daily Data ,,,,,,,,
Dates (month/day/year): 2016,,,,,,,,
Location: latitude  20.72   longitude -103.49 ,,,,,,,,
elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 1571.72 meters,,,,,,,,
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 ,,,,,,,,
parameter(s): ,,,,,,,,
ALLSKY_SFC_SW_DWN     CERES SYN1deg All Sky Surface Shortwave Downward Irradiance (MJ/m^2/day) ,,,,,,,,
ALLSKY_SFC_LW_DWN     CERES SYN1deg All Sky Surface Longwave Downward Irradiance (MJ/m^2/day) ,,,,,,,,
PRECTOTCORR           MERRA-2 Precipitation Corrected (mm/day) ,,,,,,,,
WS2M                  MERRA-2 Wind Speed at 2 Meters (m/s) ,,,,,,,,
T2M_MAX               MERRA-2 Temperature at 2 Meters Maximum (C) ,,,,,,,,
T2M_MIN               MERRA-2 Temperature at 2 Meters Minimum (C) ,,,,,,,,
RH2M                  MERRA-2 Relative Humidity at 2 Meters (%) ,,,,,,,,
-END HEADER-,,,,,,,,
YEAR,DOY,ALLSKY_SFC_SW_DWN,ALLSKY_SFC_LW_DWN,PRECTOTCORR,WS2M,T2M_MAX,T2M_MIN,RH2M
2016,136,20.91,31.67,2.08,2.01,32.31,17.13,58.78
2016,137,25.08,31.15,0.02,1.54,32.76,15.73,50.28
2016,138,27.77,29.94,0.33,1.91,34.11,15.83,44.25
2016,139,29.2,28.12,0,1.89,34.05,15.62,42.43
2016,140,29.82,27.96,0,1.71,33.86,16.12,35.87
2016,141,29.96,28.65,0,1.58,35.32,16.21,36.92
2016,142,28.97,29.08,0,1.09,35.76,16.45,39.77
2016,143,28.81,29.39,0,1.56,35.21,17.04,38.27
2016,144,27.16,29.22,0,1.63,35.73,16.08,30.66
2016,145,28.72,28.8,0,1.23,36.81,16.57,30.12
2016,146,27.09,29.78,0,1.9,37.43,17.37,35.7
