-BEGIN HEADER-,,,,,,,,
NASA/POWER Source Native Resolution Daily Data ,,,,,,,,
Dates (month/day/year): 2014,,,,,,,,
Location: latitude  19.38   longitude -100.15 ,,,,,,,,
elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 2459.93 meters,,,,,,,,
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 ,,,,,,,,
parameter(s): ,,,,,,,,
ALLSKY_SFC_SW_DWN     CERES SYN1deg All Sky Surface Shortwave Downward Irradiance (MJ/m^2/day) ,,,,,,,,
ALLSKY_SFC_LW_DWN     CERES SYN1deg All Sky Surface Longwave Downward Irradiance (MJ/m^2/day) ,,,,,,,,
PRECTOTCORR           MERRA-2 Precipitation Corrected (mm/day) ,,,,,,,,
WS2M                  MERRA-2 Wind Speed at 2 Meters (m/s) ,,,,,,,,
T2M_MAX               MERRA-2 Temperature at 2 Meters Maximum (C) ,,,,,,,,
T2M_MIN               MERRA-2 Temperature at 2 Meters Minimum (C) ,,,,,,,,
RH2M                  MERRA-2 Relative Humidity at 2 Meters (%) ,,,,,,,,
-END HEADER-,,,,,,,,
YEAR,DOY,ALLSKY_SFC_SW_DWN,ALLSKY_SFC_LW_DWN,PRECTOTCORR,WS2M,T2M_MAX,T2M_MIN,RH2M
2014,1,15.51,26.95,1.4,1.29,16.72,5.2,77.42
2014,2,16.8,26.26,0.09,1.69,17.98,4.39,72.45
2014,3,17.71,25.46,0,1.47,16.74,2.58,69.3
2014,4,17.23,24.95,0,1.13,17.48,4.27,64.02
2014,5,18.38,25.02,0,1.24,18.09,5.63,65.07
2014,6,15.4,27.05,0.5,1.46,16.49,4.72,76.5
2014,7,10.19,28.9,0.34,1.27,16.02,5.75,77.57
2014,8,18.53,24.44,0.09,1.14,17.86,4.67,67.87
2014,9,19.47,24.14,0.02,1.33,17.98,5.05,58.5
2014,10,13.98,27.38,0.05,1.78,17.63,5.47,65.25
2014,11,16.42,26.55,0.29,1.23,19.98,4.55,70.05
2014,12,16.95,26.41,1.34,1.48,17.59,7.24,73.42
2014,13,17.18,26.12,0.19,1.47,19.04,5.48,72.53
2014,14,16.36,26.6,1.26,1.66,16.78,6.26,76.08
2014,15,17.88,25.61,0.04,1.86,15,3.24,68.35
2014,16,15.78,27.67,0,1.34,16.32,3.51,64.63
2014,17,19.73,24.57,0,1.37,16.92,2.45,59.49
2014,18,19.38,24.91,0,0.95,17.74,2.65,60.57
2014,19,17.66,25.23,0,0.89,19.19,3.62,57.9
2014,20,20.42,24.85,0,1.26,19.72,4.09,66.44
2014,21,20.49,24.99,0,2.39,18.47,3.56,59.21
2014,22,20.14,24.97,0,1.11,19.83,3.65,64.31
2014,23,20.13,25.51,0,1.14,19.66,5.29,71.06
2014,24,19.31,25.46,0.19,1.45,20.71,6.04,67.46
2014,25,18.36,26.7,0.01,0.98,21.07,6.67,63.57
2014,26,19.2,26.32,0.15,1.22,20.31,5.87,73.72
2014,27,20.22,26.02,0.12,1.08,21.32,5.5,67.79
